"CODCT";"PROJETO";"Obra";"Tipo Obra";"RDO";"STATUS_RDO";"DATA_VALIDACAO_SALA_TECNICA"
"0004";"12020672";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"15000516";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"15000648";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"15000664";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"13050036";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000003";"Cancelado                    ";
"0004";"13050036";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000004";"Cancelado                    ";
"0004";"15023656";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"15013081";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"15012808";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"13016423";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"15023656";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000002";"Cancelado                    ";
"0004";"15016072";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"15541231";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"13050036";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000005";"Cancelado                    ";
"0004";"12000566";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Aprovado Sala Técnica        ";6/11/2024 00:00:00
"0004";"15541231";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000002";"Cancelado                    ";
"0004";"13028413";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000003";"Cancelado                    ";
"0004";"15012093";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"15105180";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"15105180";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"13099442";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"13099442";"2-IMPLANTAÇÃO_DE_PROJETO_ESPECIAL";"Projeto Especial";"RDO-00000000001";"Cancelado                    ";
"0004";"15536211";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";14/3/2025 00:00:00
"0004";"15536246";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";11/2/2025 00:00:00
"0004";"15020070";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";7/11/2024 00:00:00
"0004";"15545881";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";10/9/2024 00:00:00
"0004";"15545857";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";10/9/2024 00:00:00
"0004";"15588807";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";10/9/2024 00:00:00
"0004";"15588769";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";11/9/2024 00:00:00
"0004";"15582310";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";10/9/2024 00:00:00
"0004";"15019403";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";10/9/2024 00:00:00
"0004";"15019365";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";10/9/2024 00:00:00
"0004";"15019519";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";10/9/2024 00:00:00
"0004";"15573834";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";10/9/2024 00:00:00
"0004";"15144488";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";18/11/2024 00:00:00
"0004";"15019578";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";18/11/2024 00:00:00
"0004";"15546209";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";2/12/2024 00:00:00
"0005";"21080976";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";6/11/2024 00:00:00
"0005";"21079293";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Não se aplica                ";
"0005";"21272395";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";5/9/2024 00:00:00
"0005";"21081344";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";5/9/2024 00:00:00
