"PROJETO";"Fase";"Região";"UF";"Município";"Escopo_RE";"Escopo_RI";"Escopo_GS";"Energia compart";"Escola Conectada"
"12021830";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";;"Não"
"12021849";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12021865";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";;"Não"
"12021873";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Sim"
"12021989";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12022349";"4.1";"Norte";"AC";"Feijó";"Sim";"Sim";"Não";;"Não"
"12023000";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12023019";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12023027";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12025550";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12025615";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12026336";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12026344";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";;"Não"
"12026352";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12026387";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12027081";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12027090";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12027103";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12027634";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12027650";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12027669";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12027677";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12028444";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12028452";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12028479";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12028517";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12028550";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12028630";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";"S";"Não"
"12029050";"4.1";"Norte";"AC";"Feijó";"Sim";"Sim";"Não";;"Não"
"12029211";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12029246";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12029335";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12029807";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12030023";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12030040";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Sim"
"12030589";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12030848";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12031984";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12032018";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12032050";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12032069";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12032123";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Sim"
"12032247";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12032298";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12032310";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12032611";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12032816";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12032883";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12033162";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12033421";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12033480";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12033944";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12033952";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12034584";"4.1";"Norte";"AC";"Cruzeiro do Sul";"Sim";"Sim";"Não";;"Sim"
"12034592";"4.1";"Norte";"AC";"Cruzeiro do Sul";"Sim";"Sim";"Não";;"Não"
"12034606";"4.1";"Norte";"AC";"Cruzeiro do Sul";"Sim";"Sim";"Não";;"Não"
"12034630";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12034657";"4.1";"Norte";"AC";"Feijó";"Sim";"Sim";"Sim";;"Não"
"12035823";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12040223";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12062227";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12089222";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Sim"
"27055191";"4.1";"Nordeste II";"AL";"Anadia";"Sim";"Sim";"Não";;"Sim"
"27022340";"4.1";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";;"Não"
"27022366";"4.1";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";;"Não"
"27022404";"4.1";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";;"Não"
"27022412";"4.1";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";;"Não"
"27022447";"4.1";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";;"Não"
"27022331";"4.1";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";;"Sim"
"27022579";"4.1";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";;"Não"
"27022722";"4.1";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";;"Não"
"27022765";"4.1";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";;"Não"
"27022790";"4.1";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";;"Não"
"27022480";"4.1";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";;"Não"
"27048756";"4.1";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";;"Sim"
"27054900";"4.1";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";;"Sim"
"27023109";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Não"
"27023141";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Sim"
"27023192";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Não"
"27023257";"4.1";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";;"Sim"
