"PROJETO";"Fase";"Região";"UF";"Município";"Escopo_RE";"Escopo_RI";"Escopo_GS";"Energia compart"
"12030848";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12031984";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12032018";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12032050";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";
"12032069";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12032123";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12032247";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12032298";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12032310";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12032611";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12032816";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12032883";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12033162";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12033421";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12033480";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12033944";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12033952";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12034584";"B";"Norte";"AC";"Cruzeiro do Sul";"Sim";"Sim";"Não";
"12034592";"B";"Norte";"AC";"Cruzeiro do Sul";"Sim";"Sim";"Não";
"12034606";"B";"Norte";"AC";"Cruzeiro do Sul";"Sim";"Sim";"Não";
"12034630";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12034657";"B";"Norte";"AC";"Feijó";"Sim";"Sim";"Sim";
"12035823";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12040223";"B";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";
"12062227";"B";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";
"12089222";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"27055191";"B";"Nordeste II";"AL";"Anadia";"Sim";"Sim";"Não";
"27022340";"B";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";
"27022366";"B";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";
"27022404";"B";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";
"27022412";"B";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";
"27022447";"B";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";
"27022331";"B";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";
"27022579";"B";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";
"27022722";"B";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";
"27022765";"B";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";
"27022790";"B";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";
"27022480";"B";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";
"27048756";"B";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";
"27054900";"B";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";
"27023109";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023141";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023192";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023257";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023265";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023281";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023290";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023303";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023370";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023389";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023400";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023451";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023478";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27219755";"B";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";
"27023508";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27023524";"B";"Nordeste II";"AL";"Santana do Mundaú";"Sim";"Sim";"Não";
"27240002";"B";"Nordeste II";"AL";"Chã Preta";"Sim";"Sim";"Não";
"27023621";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
"27023648";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
"27023664";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
"27023672";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
"27023702";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
"27023710";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
"27023753";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
"27023761";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
"27023770";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
"27023800";"B";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";
